name,address,lat,lng,open_hours,rest_days,limited_time,midnight,pudding,basque,tiramisu,dessert,salty_food,café,study,chat,photo,pet,wifi
The Good One Coffee Roaster,桃園市桃園區民有五街122號,25.008501,121.3178489,09:00–18:00,Sat.,0,0,0,1,1,1,0,1,0,1,0,0,0
Drip Note COFFEE 滴音咖啡,桃園市楊梅區新農街366號,24.9114941,121.1567022,10:00–18:00,"Mon. ,Tue. ,Wed. ",0,0,0,0,0,1,0,1,0,0,0,0,0
愛瑞兒咖啡坊,桃園市桃園區光興里信一街27號,25.06139535,121.2876588,11:00~19:00,"Sat. ,Sun.",0,0,0,0,0,1,0,1,1,0,0,0,0
大觀 x 小弄,桃園市中壢區環中東路708巷136號,24.9549605,121.244003,12:00- 18:00(週四、周五、周六),"Mon. ,Tue. ,Sun.",0,0,1,1,0,1,0,1,0,1,0,0,0
鞠分號,桃園市桃園區慈祥街32號,25.0078608,121.3009322,13:30–19:00,"Tue., Wed.",1,1,1,0,0,1,0,1,0,0,0,0,0
Dute coffee ＆ bar,桃園市中壢區中光路61號,24.956991,121.227051,平日10:30–19:00、假日10:30–20:00,Mon. ,0,0,0,0,1,1,0,1,0,0,0,0,0
吳皇咖啡（原好野咖啡）,桃園市平鎮區義興里延平路二段175號,24.94793488,121.211086,09:30–18:00,Sun.,0,0,0,0,0,0,0,1,0,0,0,0,0
丑咖啡 BU-SU cafe',桃園市大溪區后尾一橫巷4號,24.88594495,121.2882462,11:00–18:00,"Wed. ,Sat.",0,0,0,0,0,1,0,1,0,0,0,1,0
解放咖啡企業社,桃園市大溪區中山路19號,24.8803454,121.289355,平日13:00–18:00、假日11:00–18:00,"wed., Thu.",1,0,0,0,1,1,0,1,0,1,1,1,0
艾提咖啡,桃園市桃園區民生路55巷20號,24.9915244,121.3137405,11:30–21:00,"Tue., Wed.",1,0,1,1,1,1,0,1,0,0,0,0,1
37cafe,桃園市龜山區文東五街37巷37號,25.050677,121.361575,11:00–20:00,Mon. ,0,0,0,0,0,1,0,1,1,0,0,0,0
找個地方cafe,桃園市中壢區大仁二街15號2樓之13,24.9547704,121.2425094,10:00–20:00,,0,0,0,0,0,1,0,1,1,1,0,1,1
卡諾咖啡生活館,桃園市桃園區春日里大興路200號,25.01625755,121.3124454,10:00–19:00,Sun.,0,0,0,0,0,0,0,1,0,0,0,0,0
午逅咖啡,桃園市蘆竹區南崁路352號2樓,25.050769,121.2912484,11:00–21:00,Thu. ,0,0,0,0,0,1,0,1,0,0,0,1,0
Louisa Coffee 路易莎咖啡 (環球A8門市),桃園市龜山區復興一路8號 (環球購物中心 桃園A8),25.060604,121.3700716,07:00–22:00,,0,0,0,0,0,0,0,1,1,0,0,0,1
Poffee Canteen 波菲咖啡食堂,桃園市中壢區中央里元化路125巷32號,24.959372,121.228829,11:00~18:00,"Tue., Wed.",0,0,0,0,1,1,0,1,0,0,0,0,0
Want Cafe 玩咖咖啡館,桃園市大園區青山里春德路148號162-2室,25.01667232,121.2127795,09:00–18:00,主要是六日營業，其他以教學為主,0,0,0,0,0,1,0,1,1,0,0,0,0
等等計劃 nice ghost sleep clinic,桃園市桃園區中華路10號3樓之7,25.00097952,121.311694,12:40–20:30,不定休，可見店舖行事曆,0,0,0,0,0,0,0,0,0,0,0,0,0
瑞沁咖啡,桃園市中壢區中央里元化路113號,24.95896464,121.2282392,11:00–21:00,,0,0,0,0,0,1,0,1,0,0,0,0,0
豆舖咖啡,桃園區大興西路二段322號,25.0086999,121.294,10:30–20:30,,0,0,0,0,0,1,0,1,1,0,0,0,0
Daisy Cafe,桃園市八德區大勇里東勇北路598號,24.96482828,121.3065773,12:00–18:30,,0,0,0,0,0,1,0,1,0,0,0,1,0
Re-Title Cafe,桃園市中壢區愛國路60巷41號,24.96198581,121.2213784,10:30–18:30,,0,0,1,0,1,1,0,1,0,0,0,0,0
Webberhood Coffee,桃園市桃園區國強一街172號1樓,24.9925253,121.2837439,平日10:00–19:00、假日11:00–18:00,"Thu. ,Fri.",0,0,0,0,0,1,0,1,1,0,0,0,1
